section,text
The Kennedy family,"The Kennedy family was prominent in Massachusetts politics in the 20th century. Children of businessman and ambassador Joseph P. Kennedy Sr. included:

John F. Kennedy, a United States senator from Massachusetts from 1953 to 1960 and president of the United States from 1961 until his assassination in 1963
Robert F. Kennedy, United States Attorney General from 1961 to 1964, United States senator from New York from 1965 to 1968, and presidential candidate in 1968 until his assassination
Ted Kennedy, a United States senator from Massachusetts from 1962 until his death in 2009 and presidential candidate in 1980
Eunice Kennedy Shriver, a co-founder of the Special Olympics.
John F. Kennedy's birthplace and early childhood home is located on Beals Street in Brookline, Massachusetts. The famous Kennedy Compound is located in Hyannis Port, Massachusetts on Cape Cod."
Modern economy and society: 1985–present -> The Big Dig,"In 1987, the state received federal funding for the Central Artery/Tunnel Project. Known as ""the Big Dig"", it was at the time the biggest federal highway project ever approved. The project included making the Central Artery a tunnel under downtown Boston, in addition to the re-routing of several other major highways. Often controversial, with numerous claims of graft and mismanagement, and with its initial price tag of $2.5 billion increasing to a final tally of over $15 billion, the Big Dig has nonetheless changed the face of Downtown Boston. It has connected areas once divided by elevated highway (much of the raised old Central Artery was replaced with the Rose Kennedy Greenway), and improved traffic conditions along a number of routes."
Boundaries -> Founding grants,"In 1607, the Plymouth Company was granted a coastal charter for all coastal territory up to a certain distance from the eastern shoreline of North America, from 38°N to 45°N. The northern boundary was thus slightly farther north than the current Maine–New Brunswick border, and the southern border intentionally overlapped with the Virginia Company of London (""London Company"") from the 38th parallel (near the current Maryland–Virginia border) to the 41st (near the current Connecticut–New York border in Long Island Sound). Neither colony was allowed to settle within 100 miles of the other. The Plymouth Company's patent fell into disuse after the failure of the Popham Colony in what is now Maine. Meanwhile, the Plymouth Colony had settled outside the territory of the London company due to navigational difficulties. The Plymouth Company was reorganized as the Plymouth Council for New England, and given a new royal sea-to-sea charter for all North American territory from 40° North (just east between present-day Philadelphia and Trenton, New Jersey) and 48° N (thus including all of modern-day New Brunswick, Nova Scotia, and Prince Edward Island). The Plymouth Colony was granted land patents between 1621 and 1630 from the Council to legitimize its settlement, though it maintained political independence under the Mayflower Compact.
The Plymouth Council for New England made sub grants to various entities before it was surrendered to the crown in 1635 and ceased to operate as a corporate entity.
The Sheffield Patent granted the use of Cape Ann to members of the Plymouth Colony and the Dorchester Company. The fishing colony there failed, but led to the foundation of Salem, Massachusetts. The bankrupt Dorchester Company's lands were reissued as part of a larger grant to the Massachusetts Bay Company. Massachusetts Bay obtained in 1628/29 a sea-to-sea patent for all lands and islands from three miles north of the Merrimack River (roughly the current Massachusetts–New Hampshire border), to three miles south of the extents of the Charles River and Massachusetts Bay. The Charles River starts in Hopkinton (in the middle of the territory) but flows in a circuitous path southeast to near present-day Bellingham on the modern Rhode Island border. Land belonging to any other colonies as of November 3, 1629, was excluded from the grant.
The boundary between the Massachusetts Bay Colony and Plymouth Colony was settled in 1639, and today forms most of the border between Norfolk County to the north and Plymouth and Bristol counties to the south.
In 1622, Sir Ferdinando Gorges obtained a patent for the Province of Maine, lands north of the Massachusetts Bay border near the Merrimack River, up to the Kennebec River. This was soon split at the Piscataqua River, with the southern portion eventually becoming the Province of New Hampshire. The northern portion came under Massachusetts Bay control in the 1640s. In 1664, James, Duke of York, obtained a charter for land from the Kennebec to the St. Croix River, joining it to his Province of New York. New Hampshire was joined with Massachusetts Bay from 1641 to 1679 and during the dominion period (1686–1692).
The 1629 charter of Massachusetts Bay was canceled by a judgment of the high court of chancery of England, June 18, 1684.
The Province of Massachusetts Bay was formed in 1691–92 by the British monarchs William III and Mary II. It included the lands of the Massachusetts Bay Colony, the Plymouth Colony, the Province of Maine (including the eastern territories that had been part of Province of New York), and Nova Scotia (which included present-day New Brunswick and Prince Edward Island). Dukes County, Massachusetts (Martha's Vineyard and the Elizabeth Islands), and Nantucket were also transferred from the Province of New York. In 1696, Nova Scotia was restored to France (who called it Acadia), but the northern and eastern boundaries of Maine would not be fixed until the 1840s."
Boundaries -> New Hampshire boundary,"The Province of New Hampshire received a separate royal charter in 1679, but the language defining the southern border with Massachusetts Bay referenced the Merrimack River in an ambiguous way:

all that parte of New England in America lying and extending from the greate River commonly called Monomack als Merrimack on the northpart and from three Miles Northward of the said River to the Atlantick or Western Sea or Ocean on the South part [Pacific Ocean]
The result was disagreement over the northern boundary of Massachusetts that was often ignored by its governors because in those years they governed both Massachusetts and New Hampshire. Massachusetts claimed land west of the Merrimack as calculated from the headwaters of the river (which early colonial officials claimed to be the outlet of Lake Winnipesaukee in modern-day Franklin, New Hampshire), but New Hampshire claimed that its southern boundary was the line of latitude three miles north of the river's mouth. The parties appealed to King George II of Great Britain, who ordered the dispute be settled by agreement between the parties. Commissioners from both colonies met at Hampton, New Hampshire in 1737, but were unable to reach agreement.
In 1740, the King settled the dispute in a surprising manner, by declaring ""that the northern boundary of Massachusetts be a similar curve line pursuing the course of the Merrimack River at three miles distance on the north side thereof, beginning at the Atlantic Ocean and ending at a point due north of a place called Pawtucket Falls [now Lowell, Massachusetts], and by a straight line drawn from thence west till it meets his Majesty's other governments."" This ruling favored New Hampshire and actually gave it a strip of land 50 miles beyond its claim. Massachusetts declined to do a physical survey, so New Hampshire laid markers on its own."
Boundaries -> Rhode Island eastern border,"In 1641, the Plymouth Colony (at the time separate from the Massachusetts Bay Colony) purchased from the Indians a large tract of land which today includes the northern half of East Providence (from Watchemoket to Rumford), Rehoboth, Massachusetts, Seekonk, Massachusetts, and part of Pawtucket, Rhode Island. In 1645, John Brown of Plymouth bought a considerably smaller piece of land from the Indians, which today comprises the southern part of East Providence (Riverside), Barrington, Rhode Island, and a small part of Swansea, Massachusetts. Finally, in 1661, Plymouth completed the ""North Purchase"", from which Cumberland, Rhode Island, Attleboro, Massachusetts, and North Attleborough, Massachusetts, were later to be formed. The whole territory, which also included parts of modern Somerset, Massachusetts, and Warren, Bristol, and Woonsocket in Rhode Island, was at the time called ""Rehoboth"". The center of ""Old Rehoboth"" was within the borders of modern East Providence, Rhode Island.
By the 1650s, Massachusetts Bay, the Colony of Rhode Island (not yet unified with Providence) the Connecticut Colony, and two different land companies all claimed what is now Washington County, Rhode Island, what was referred to as Narragansett Country. Massachusetts Bay had conquered Block Island in 1636 in retaliation for the murder of a trader at the start of the Pequot War, and Massachusetts families settled there in 1661. The Plymouth Colony's land grant specified its western boundary as the Narragansett River; it is unclear whether this referred to the Pawcatuck River (on the current Connecticut–Rhode Island Border) or Narragansett Bay (much farther east, near the modern-day Rhode Island–Massachusetts border).
In 1663, Rhode Island obtained a patent extending its territory in certain places three miles east of Narragansett Bay. In 1664, a royal commission appointed by King Charles II of England denied the claims of Massachusetts and Plymouth to land west of Narragansett Bay, granting jurisdiction to the newly unified Colony of Rhode Island and Providence Plantations (pending resolution of the claims of Connecticut). However, the claims of Plymouth to all lands east of Narragansett Bay were upheld, and so the border was set in practice.
The 1691 charter unified Massachusetts Bay with Plymouth Colony (including Rehoboth) and said that the combined territory would extend as far south as ""Our Collonyes of Rhode Island Connecticut and the Narragansett Countrey"" (Narragansett Country).
In 1693, the monarchs William III and Mary II issued a patent extending Rhode Island's territory to three miles ""east and northeast"" of Narragansett Bay, conflicting with the claims of Plymouth Colony. This enlarged the area of conflict between Rhode Island and the Province of Massachusetts.
The issue was not addressed until 1740, when Rhode Island appealed to King George II of Great Britain. Royal commissioners from both colonies were appointed in 1741, and decided in favor of Rhode Island. The King affirmed the settlement in 1746 after appeals from both colonies. The royally approved three-mile boundary moved several towns on the eastern shore of Narragansett Bay (east of the mouth of the Blackstone River) from Massachusetts to Rhode Island.
This included what is now Bristol County, Rhode Island (the towns of Barrington, Bristol, and Warren), along with Tiverton, Little Compton, and Cumberland, Rhode Island (which was carved out of Attleborough, Massachusetts). East Freetown, which was left on the Massachusetts side of the border, was officially purchased by Freetown, Massachusetts, from Tiverton in 1747.
Commissioners from Rhode Island had the new boundary surveyed in 1746 (without consulting Massachusetts), based on six reference points, from each of which a distance was measured 3 miles inland. Massachusetts accepted this border until 1791, when its own surveyors found that the Rhode Island surveyors had ""encroached"" on Massachusetts territory by a few hundred feet in certain places.  (Rhode Island disagreed.)  Of particular concern was the boundary near Fall River, Massachusetts, which would later fall in the middle of a thickly settled area of high taxable value.
In 1812, after a court case involving the Massachusetts border, the western half of Old Rehoboth was set off as a separate township called Seekonk, Massachusetts, leaving the eastern part as Rehoboth, Massachusetts. Old Rehoboth's town center now became the heart of Old Seekonk.
In 1832, Rhode Island filed a case with the U.S. Supreme Court, but after six years of deliberations, it was dismissed. The court decided it did not have the jurisdiction to rule on the matter.
In 1844, and 1845, commissioners were once again authorized to survey and mark the boundary from Wrentham to the Atlantic Ocean, to address the inaccuracies of the 1746 survey. A report was issued in 1848, but the Massachusetts legislature refused to agree to the proposed solution after petitions from residents of Fall River.
Both states filed bills of equity with the Supreme Court in 1852, and after more surveying and negotiation, a decree was issued on December 16, 1861. On March 1, 1862, when the Supreme Court ruling became effective, the western part of Old Seekonk (all of which was on the eastern shore of the Blackstone River) was ceded by Massachusetts and incorporated as East Providence, Rhode Island. Part of North Providence, Rhode Island, was also combined with the former Pawtucket, Massachusetts and a sliver of Seekonk to form the modern Pawtucket, Rhode Island. A small amount of land was also added to Westport, Massachusetts. The southern boundary of Fall River, Massachusetts, was moved from Columbia Street to State Avenue, expanding its territory. The Supreme Court made these adjustments not in conformance with King George's instructions, but to unify the thickly settled areas of Pawtucket and Fall River under the jurisdiction of a single state.
The 1861–2 boundary was slightly redefined in 1897, using stone markers instead of high-water levels. The physical survey was performed in 1898, and ratified by both states."
Boundaries -> Rhode Island northern border,"In 1710–11, commissioners from the Colony of Rhode Island and Providence Plantations and the Province of Massachusetts Bay agreed that the stake planted in 1642 by Nathaniel Woodward and Solomon Saffrey at Burnt Swamp Corner on the plains of Wrentham, Massachusetts, said to be at 41°55′N and thought to be three miles south of the southernmost part of the Charles River, would represent the starting point for the border.
The line extending west from the stake was surveyed in 1719, but inaccurately.
In 1748, Rhode Island appointed a commission to survey the line from the stake to the Connecticut border, but Massachusetts failed to send a delegation. The surveyors could not find the 1642 stake, and so marked a line from three miles south, by their reckoning, of ""Poppatolish Pond"" (presumably Populatic Pond, near Norfolk Airpark in Norfolk, Massachusetts). It was discovered that the Woodward and Saffrey stake was considerably farther south than three miles from the Charles River.
Rhode Island claimed that its commissioners had made a mistake in basing the border on the 1642 stake, and in 1832 filed a case with the Supreme Court of the United States. In 1846, the Court ruled in favor of Massachusetts. The same surveyors that marked the eastern boundary the previous year then marked the northern boundary, filing their report in 1848. Rhode Island accepted the markings as the legal boundary on the condition that Massachusetts do the same, but the Commonwealth failed to do so until 1865. But by that time, Rhode Island claimed that the 1861 Supreme Court case had changed matters so much as to render the ""line of 1848"" unacceptable."
Boundaries -> Connecticut border,"The town of Springfield was settled in 1636 by William Pynchon (as Agawam Plantation), encompassing the modern towns of Westfield, Southwick, West Springfield, Agawam, Chicopee, Holyoke, Wilbraham, Ludlow and Longmeadow in Massachusetts, and Enfield, Suffield, Somers, and East Windsor in Connecticut. It was connected to the Atlantic and major avenues of trade by the Connecticut River, which ran past Hartford and through the territory of the Connecticut Colony. Initially, Springfield's founders attended the Connecticut Colony meetings held in Hartford; however, relations quickly soured between the strong-minded leaders of each settlement, the iconoclastic William Pynchon of Springfield and Puritan Reverend Thomas Hooker of Hartford. Pynchon proved to be a very savvy businessman, and his settlement quickly eclipsed the Connecticut towns in trade with the Natives. In 1640, during a grain shortage, Hooker and other Connecticut leaders gave Pynchon permission to buy grain for them; however, because the Indians were refusing to sell at reasonable prices, Pynchon refused the Indians' offers. Pynchon's perceived greed infuriated Hartford; however, Pynchon explained that he was merely trying to keep market prices steady so that colonists need not pay exorbitant amounts in the future. Infuriated, Hartford sent famed Indian-killer Captain John Mason up to Pynchon's settlement ""with money in one hand and a sword in the other."" Mason threatened the Natives by Springfield with war if they did not sell grain at the prices he demanded. Pynchon was disgusted by this behavior, as he had enjoyed a congenial relationship with the Natives – and Mason's threats made him look bad. Mason believed that Natives were untrustworthy, and thus exchanged some ""hard words"" with Pynchon before leaving Springfield. After Mason left, settlers of Agawam Plantation rallied in support of Pynchon. In 1640, they voted to annex their settlement – with arguably the best position on the Connecticut River, near Enfield Falls, surrounded by fertile farmland and friendly Natives – to the faraway government in Boston, rather than the nearby government in Hartford. (Springfield had been settled by permission of the Massachusetts General Court, so Massachusetts assumed it had jurisdiction over Pynchon's settlement anyway; however, they renamed it Springfield in Pynchon's honor).
In 1641, Connecticut founded a trading post at Woronoke, which was in what was strongly considered to be Massachusetts territory (now Westfield). Massachusetts complained, and Connecticut demanded that Springfield pay taxes to support the upkeep of the fort at the mouth of the river, in the Saybrook Colony. Springfield's magistrate, William Pynchon, would have been amenable to the tax if Springfield could have representation at the fort at Saybrook; however, Connecticut refused Springfield's request for representation. Pynchon appealed to Boston, which responded to Connecticut by threatening to charge Connecticut traders for the use of the port of Boston on which they heavily depended.
To assert its sovereignty on the northern Connecticut River, the Massachusetts Bay Colony sent Nathaniel Woodward and Solomon Saffrey to survey and mark the boundary. They accidentally marked the boundary with Rhode Island significantly farther than the royally decreed three miles south of the southernmost part of the Charles River. Instead of traversing the territory of Massachusetts by land, they sailed around and up the Connecticut River, calculating the same latitude at which they had misplaced the stake on the Rhode Island border. This compounded the error even further, resulting in a four to seven mile discrepancy between where the border should have been and where it was marked, and awarding more territory to Massachusetts Bay than it had been granted by its charter. Although it was suspicious of this survey, Connecticut would not even receive a charter until 1662, and so the dispute would lie dormant for several decades.
The towns of Woodstock, Suffield, Enfield, and Somers were incorporated by Massachusetts, and mainly settled by migrants from the Massachusetts Bay and Plymouth Colonies. In 1686, Suffield and Enfield (incorporated in Massachusetts) were in a dispute over town territory with Windsor and Simsbury (incorporated in Connecticut, and which then included Granby). Massachusetts did not agree to a re-survey, so Connecticut hired John Butler and William Whitney to do the job. They found the southernmost part of the Charles River, and then traveled by land westward. Their 1695 report found that the 1642 line had been drawn too far south.
Consternation ensued. Abortive pleas to England were made in 1702. In 1713, a joint commission awarded control of Springfield-area towns to Massachusetts (without consulting the residents of those towns), compensating Connecticut with an equal amount of land further north. But the inhabitants of the Connecticut River border towns petitioned to be part of Connecticut in 1724, perhaps due to high taxes in Massachusetts or the greater civil liberties granted in the Connecticut charter.
In 1747, Woodstock petitioned the General Assembly of Connecticut to be admitted to the colony because the transfer of lands from Massachusetts in 1713 had not been authorized by The Crown. Suffield and Enfield soon followed, and the legislature accepted them in May 1749, and declared the 1713 compromise null and void. Massachusetts continued to assert sovereignty.
In 1770, Southwick, Massachusetts, was granted independence from Westfield, Massachusetts. In May 1774, residents in southern Southwick also petitioned Connecticut for entry and secession from northern Southwick, on the grounds they were south of the royally approved border of the Massachusetts Bay Colony (three miles south of the Charles River). As a compromise, the area west of Congamond Lake remained in Massachusetts, and the area of Massachusetts east of the lake joined Suffield and became part of Connecticut.
In 1791, and 1793, commissioners were sent from both states to survey the boundary line yet again, but were unable to agree until a compromise was reached in 1803–04. Massachusetts accepted the nullification of the 1713 compromise and the loss of the border towns, but regained the portion of southern Southwick west of the lake. This resulted in the modern boundary with Connecticut, a relatively straight east–west line except for the ""Southwick jog"", a small, mostly rectangular piece of Massachusetts surrounded by Connecticut on three sides."
Boundaries -> New York border,"Massachusetts claimed all territory to the Pacific Ocean, based on its 1629 charter, but the Province of New York claimed the west bank of the Connecticut River (passing through Springfield, Massachusetts) as its eastern boundary, based on 1664 and 1674 grants to the Duke of York. The 1705 Westenhook Patent from the governor of New York allocated land west of the Housatonic River to specific individuals, resulting in ownership conflicts.
In 1773, the western boundary of Massachusetts was settled with New York in its present location, and surveyed in 1787, following the line of magnetic north at the time. The starting point was a 1731 marker at the Connecticut–New York border, 20 miles inland from the Hudson River.
Massachusetts relinquished sovereignty over its western lands (east of the Great Lakes) to New York in the Treaty of Hartford in 1786, but retained the economic right to buy the Boston Ten Townships from Native Americans before any other party. These purchase rights were sold to private individuals in 1788. The Commonwealth also ceded its claim to far western lands (Michigan and all other land to the Pacific Ocean) to Congress in 1785.
In 1853, a small triangle of land in the southwest corner of the Commonwealth, known as Boston Corner, was ceded from Mount Washington, Massachusetts, to Ancram, New York. The mountainous terrain made it difficult for Massachusetts authorities to enforce the law there, making the neighborhood a haven for outlaws and prize-fighters. Residents petitioned for the transfer to allow New York authorities to clean up the hamlet."
Boundaries -> Maine,"From 1658 to 1820 Maine was an integral part of Massachusetts. In 1820, Maine was separated from Massachusetts (with its consent) and admitted into the Union as an independent state, as part of the Missouri Compromise.  (See the History of Maine for information about its boundaries, including disputes with New Hampshire and Canadian provinces.)"
Notes,
Etymology,"The Massachusetts Bay Colony was named after the Indigenous population, the Massachusett or Muhsachuweesut, whose name likely derived from the Wôpanâak word muswachasut, segmented as mus(ây) ""big"" + wach ""mountain"" + -s ""diminutive"" + -ut ""locative"". This word has been translated as ""near the great hill"", ""by the blue hills"", ""at the little big hill"", or ""at the range of hills"", in reference to the Blue Hills—namely, the Great Blue Hill, located on the boundary of Milton and Canton. Massachusett has also been represented as Moswetuset. This comes from the name of the Moswetuset Hummock (meaning ""hill shaped like an arrowhead"") in Quincy, where Plymouth Colony commander Myles Standish (a hired English military officer) and Squanto (a member of the Patuxet band of the Wamponoag people, who have since died off due to contagious diseases brought by colonists) met Chief Chickatawbut in 1621.
Although the designation ""Commonwealth"" forms part of the state's official name, it has no practical implications in modern times, and Massachusetts has the same position and powers within the United States as other states. John Adams may have chosen the word in 1779 for the second draft of what became the 1780 Massachusetts Constitution; unlike the word ""state"", the word ""commonwealth"" had the connotation of a republic at the time. This was in contrast to the monarchy the former colonies were fighting against during the American Revolutionary War. The name ""State of Massachusetts Bay"" appeared in the first draft, which was ultimately rejected. It was also chosen to include the ""Cape Islands"" in reference to Martha's Vineyard and Nantucket—from 1780 to 1844, they were seen as additional and separate entities confined within the Commonwealth."
History -> Pre-colonization,"Massachusetts was originally inhabited by tribes of the Algonquian language family, including the Wampanoag, Narragansett, Nipmuc, Pocomtuc, Mahican, and Massachusett. While cultivation of crops like squash and corn were an important part of their diet, the people of these tribes hunted, fished, and searched the forest for most of their food. Villagers lived in lodges called wigwams as well as longhouses. Tribes were led by male or female elders known as sachems."
History -> Colonial period,"In the early 1600s, European colonists caused virgin soil epidemics such as smallpox, measles, influenza, and perhaps leptospirosis in what is now known as the northeastern region of the United States. Between 1617 and 1619, a disease that was most likely smallpox killed approximately 90% of the Massachusetts Bay Native Americans.
The first English colonists in Massachusetts Bay Colony landed with Richard Vines and spent the winter in Biddeford Pool near Cape Porpoise (after 1820 the State of Maine) in 1616. The Puritans arrived at Plymouth in 1620. This was the second permanent English colony in the part of North America that later became the United States, after the Jamestown Colony. The ""First Thanksgiving"" was celebrated by the Puritans after their first harvest in the ""New World"" and lasted for three days. They were soon followed by other Puritans, who colonized the Massachusetts Bay Colony—now known as Boston—in 1630.
The Puritans believed the Church of England needed to be further reformed along Protestant Calvinist lines, and experienced harassment due to the religious policies of King Charles I and high-ranking clergy such as William Laud, who would become Charles's Archbishop of Canterbury, whom they feared were re-introducing ""Romish"" elements to the national church. They decided to colonize to Massachusetts, intending to establish what they considered an ""ideal"" religious society. The Massachusetts Bay Colony was colonized under a royal charter, unlike the Plymouth colony, in 1629. Both religious dissent and expansionism resulted in several new colonies being founded, shortly after Plymouth and Massachusetts Bay, elsewhere in New England. The Massachusetts Bay banished dissenters such as Anne Hutchinson and Roger Williams due to religious and political conflict. In 1636, Williams colonized what is now known as Rhode Island, and Hutchinson joined him there several years later. Religious intolerance continued, and among those who objected to this later that century were the English Quaker preachers Alice and Thomas Curwen, who were publicly flogged and imprisoned in Boston in 1676.

By 1641, Massachusetts had expanded inland significantly. The Commonwealth acquired the Connecticut River Valley settlement of Springfield, which had recently disputed with—and defected from—its original administrators, the Connecticut Colony. This established Massachusetts's southern border in the west. However, this became disputed territory until 1803–04 due to surveying problems, leading to the modern Southwick Jog.

In 1652 the Massachusetts General Court authorized Boston silversmith John Hull to produce local coinage in shilling, sixpence and threepence denominations to address a coin shortage in the colony. Before that point, the colony's economy had been entirely dependent on barter and foreign currency, including English, Spanish, Dutch, Portuguese and counterfeit coins. In 1661, shortly after the restoration of the British monarchy, the British government considered the Boston mint to be treasonous. However, the colony ignored the English demands to cease operations until at least 1682, when Hull's contract as mintmaster expired, and the colony did not move to renew his contract or appoint a new mintmaster. The coinage was a contributing factor to the revocation of the Massachusetts Bay Colony charter in 1684.
In 1691, the colonies of Massachusetts Bay and Plymouth were united (along with present-day Maine, which had previously been divided between Massachusetts and New York) into the Province of Massachusetts Bay. Shortly after, the new province's first governor, William Phips, arrived. The Salem witch trials also took place, where a number of men and women were hanged for alleged witchcraft.
The most destructive earthquake known to date in New England occurred on November 18, 1755, causing considerable damage across Massachusetts."
History -> The Revolutionary War,"Massachusetts was a center of the movement for independence from Great Britain. Colonists in Massachusetts had long had uneasy relations with the British monarchy, including open rebellion under the Dominion of New England in the 1680s. Protests against British attempts to tax the colonies after the French and Indian War ended in 1763 led to the Boston Massacre in 1770, and the 1773 Boston Tea Party escalated tensions. In 1774, the Intolerable Acts targeted Massachusetts with punishments for the Boston Tea Party and further decreased local autonomy, increasing local dissent. Anti-Parliamentary activity by men such as Samuel Adams and John Hancock, followed by reprisals by the British government, were a primary reason for the unity of the Thirteen Colonies and the outbreak of the American Revolution in 1775.

The Battles of Lexington and Concord were fought in Massachusetts in 1775, and initiated the American Revolutionary War. George Washington, later the first president of the future country, took over what would become the Continental Army after the battle. His first victory was the siege of Boston in the winter of 1775–76, after which the British were forced to evacuate the city. The event is still celebrated in Suffolk County only every March 17 as Evacuation Day.
On the coast, Salem became a center for privateering. Although the documentation is incomplete, about 1,700 letters of marque, issued on a per-voyage basis, were granted during the American Revolution. Nearly 800 vessels were commissioned as privateers, which were credited with capturing or destroying about 600 British ships."
History -> Federal period,"Bostonian John Adams, known as the ""Atlas of Independence"", was highly involved in both separation from Britain and the Constitution of Massachusetts, which effectively (the Elizabeth Freeman and Quock Walker cases as interpreted by William Cushing) made Massachusetts the first state to abolish slavery. David McCullough points out that an equally important feature was its placing for the first time the courts as a co-equal branch separate from the executive. (The Constitution of Vermont, adopted in 1777, represented the first partial ban on slavery among the states. Vermont became a state in 1791 but did not fully ban slavery until 1858 with the Vermont Personal Liberty Law. The Pennsylvania Gradual Abolition Act of 1780 made Pennsylvania the first state to abolish slavery by statute - the second English colony to do so; the first having been the Colony of Georgia in 1735.) Later, Adams was active in early American foreign affairs and succeeded Washington as the second president of the United States. His son, John Quincy Adams, also from Massachusetts, would go on to become the nation's sixth president.

From 1786 to 1787, an armed uprising led by Revolutionary War veteran Daniel Shays, now known as Shays' Rebellion, wrought havoc throughout Massachusetts and ultimately attempted to seize the federal Springfield Armory. The rebellion was one of the major factors in the decision to draft a stronger national constitution to replace the Articles of Confederation. On February 6, 1788, Massachusetts became the sixth state to ratify the United States Constitution."
History -> 19th century,"In 1820, Maine separated from Massachusetts and entered the Union as the 23rd state due to the ratification of the Missouri Compromise.

During the 19th century, Massachusetts became a national leader in the American Industrial Revolution, with factories around cities such as Lowell and Boston producing textiles and shoes, and factories around Springfield producing tools, paper, and textiles. The state's economy transformed from one based primarily on agriculture to an industrial one, initially making use of water-power and later the steam engine to power factories. Canals and railroads were being used in the state for transporting raw materials and finished goods. At first, the new industries drew labor from Yankees on nearby subsistence farms, though they later relied upon immigrant labor from Europe and Canada.
Although Massachusetts was the first slave-holding colony with slavery dating back to the early 1600s, the state became a center of progressivist and abolitionist (anti-slavery) activity in the years leading up to the American Civil War. Horace Mann made the state's school system a national model. Henry David Thoreau and Ralph Waldo Emerson, both philosophers and writers from the state, also made major contributions to American philosophy. Furthermore, members of the transcendentalist movement within the state emphasized the importance of the natural world and emotion to humanity.
Although significant opposition to abolitionism existed early on in Massachusetts, resulting in anti-abolitionist riots between 1835 and 1837, abolitionist views there gradually increased throughout the next few decades. Abolitionists John Brown and Sojourner Truth lived in Springfield and Northampton, respectively, while Frederick Douglass lived in Boston and Susan B. Anthony in Adams. The works of such abolitionists contributed to Massachusetts's actions during the Civil War. Massachusetts was the first state to recruit, train, and arm a Black regiment with White officers, the 54th Massachusetts Infantry Regiment. In 1852, Massachusetts became the first state to pass compulsory education laws."
History -> 20th century -> Politicians,"The Kennedy family was prominent in 20th-century Massachusetts politics. The children of businessman and ambassador Joseph P. Kennedy Sr. included John F. Kennedy, who was a senator and U.S. president before his assassination in 1963; Ted Kennedy, a senator from 1962 until his death in 2009; and Eunice Kennedy Shriver, a co-founder of the Special Olympics. In 1966, Massachusetts became the first state to directly elect an African American to the U.S. senate with Edward Brooke. George H. W. Bush, 41st President of the United States (1989–1993) was born in Milton in 1924.
Other Massachusetts politicians on the national level included Joseph W. Martin Jr., Speaker of the House (from 1947 to 1949 and 1953 to 1955) and leader of House Republicans from 1939 to 1959 (where he was the only Republican to serve as Speaker between 1931 and 1995), John W. McCormack, Speaker of the House in the 1960s, and Tip O'Neill, whose service as Speaker of the House from 1977 to 1987 was the longest continuous tenure in United States history."
History -> 21st century,"On May 17, 2004, Massachusetts became the first state in the U.S. to legalize same-sex marriage. This followed the Massachusetts Supreme Judicial Court's decision in Goodridge v. Department of Public Health in November 2003, which determined that the exclusion of same-sex couples from the right to a civil marriage was unconstitutional.
In 2004, Massachusetts senator John Kerry, who had won the Democratic nomination for President of the United States, lost to incumbent George W. Bush. Eight years later, former Massachusetts governor Mitt Romney (the Republican nominee) lost to incumbent Barack Obama in 2012. Another eight years later, Massachusetts senator Elizabeth Warren became a frontrunner in the Democratic primaries for the 2020 presidential election. However, she later suspended her campaign and endorsed presumptive nominee Joe Biden.

Two pressure cooker bombs exploded near the finish line of the Boston Marathon on April 15, 2013, at around 2:49 pm local time (EDT). The explosions killed three people and injured an estimated 264 others. The Federal Bureau of Investigation (FBI) later identified the suspects as brothers Dzhokhar Tsarnaev and Tamerlan Tsarnaev. The ensuing manhunt ended on April 19 when thousands of law enforcement officers searched a 20-block area of nearby Watertown. Dzhokhar later said he was motivated by extremist Islamic beliefs and learned to build explosive devices from Inspire, the online magazine of al-Qaeda in the Arabian Peninsula.
On November 8, 2016, Massachusetts voted in favor of the Massachusetts Marijuana Legalization Initiative, also known as Question 4."
